Title,Price,Sold,Reviews,Condition,Brand,Area Covered,Power Source,Control Style,Mounting Location,Operating Sound Rating,Number of Heat Settings,Colour,Type,Item Dimensions,Material,Item Length,Item Width,Item Height,Colormap,Product Type,MPN,Model,Heating System,Voltage,Features,Power,Energy Efficiency Rating,Heating Element Format,Heating Element Material,Annual Fuel Utilization Efficiency (AFUE),BTU Heating Rating,Tank Capacity,Energy Efficiency Ratio (EER),Item Depth,EC Range,EAN,Country/Region of Manufacture,Color,UPC,Year Manufactured,Air Direction,Smart Home Protocol,Power (W),Unit Type,Design,Voltage Supply,Timer Control,Manufacturer Part Number,Manufacturer,Item Weight,Prop65_fl,Prop65Warning,Modification Description,Battery Included,Bundle Description,Custom Bundle,Battery Size,Modified Item,Weight,Depth,Number of Batteries,Battery Capacity,Battery Life,Length,Motor Type,Cable Length,Height,Heating Wattage,PackQty,Current Rating,ISBN,Publisher,Refrigerant,Tonnage,Manufacturer Warranty,Smart Home Compatibility,Size,Product Height (in),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Room Size,Heater Type,Certifications and Listings,Color Family,Portable Heater Safety Features,Cord Length (in),Indoor/Outdoor,Product Width (in),Power/Fuel Type,Portable Heater Features,Wattage (watts),Amperage (amps),Heating Technology Type,Voltage (volts),Product Weight (lb),Heating Product Type,GTIN,Energy Star,Item model number,Batteries Required?,Assembly Required,Country of Origin,Heating Method,Number of Pieces,Package Dimensions,Included Components,Compatible Brand,Age Group,Brand Color,Chemical,Cooling BTU/Hr,Fuel Consumption,Fuel Rate (gal./hr.),Fuel Tank Capacity (gal.),Gender,Heat Rating (Btu/Hr.),Ignition Type,Style,ItemWidth,ItemLength,ItemHeight,Model Number,Package,Piece Count,Installation,Bundle Listing,Assembled Product Dimensions (L x W x H),Power Type,Recommended Location,Assembled Product Weight,manufacturer_part_number,Heat Output,JAN,Tracking,ShippingService,Heating Technology,Manufacturer Color,Heater Style,Width,Model No.,Pattern Name,Item Dimensions LxWxH,SHIPPING,RETURN,ITEM LOCATION,International buyers,Room,ProductTypeName,PartNumber,ProductGroup,Binding,Label,NumberOfItems,Studio,MaterialType,PackageQuantity,Warranty,item_width,item_length,Heat rating (BTU/hour),Pack Size,Brand compatible,Cod. ETCO,Mark,Supply Voltage,Power Rating,Peak Temperature,Product Name,Thickness,Compressor Type,Housing Material,Fuel Type,Cord Length (ft),Assembled Height (in),Item Location,Outdoor Living Product Type,Color/Finish,Assembled Depth (in),Total BTU,Shipping,Quantity,Heating Area (sq ft),Patio Heater Type,Assembled Width (in),Tax,Item Weight Major,state limitations,Area Heated (Sq. Ft.),Product Weight (lb.),Heat Output (BTU/hour),Package Condition,Package Contents,Cosmetic Condition,Functionality Check I,Functionality Check II,package_length,Country Of Origin,Platform,Languages,IsMemorabilia,IsAutographed,Department,SKU,Temperature control,Watts,Plug Type,TAX,Customer Service,Returns,Handling Time:,Location,Questions,Thermostat,Safety tip-over switch,Fuel type,Heat type,Oxygen depletion sensor (ODS),High limit safety shut-off (HLS):,Indoor safe,Ignition,Hose & regulator included,BTU per hour:,Heating area (sq. ft.),Tank capacity (min.),Runtime,Maximum elevation,Connectivity,Dosage,Product,Format,Compatible Model,Author,Book Tittle,Language,UPC/GTIN Code,Mor Electric Heating SKU,Satisfaction,Product Dimensions,Heating settings,Wattage,Restricted States,ItemPackageQuantity,Power Line,Item,Return,OPEN BOX,Customer Return:,State limitations,Product name,Power cord,Product size,Net weight/Gross weight,Box size,Package Included,Shipping Weight,Unit Quantity,Heating BTU,Manufacturer Colour,Finish,Room Coverage Area,Rated Voltage,Power line,Main material:,Product Meas,Heating power,Use,Net Weight/Gross Weight,BoxSize,Package Include,Accessory Type,Item Package,assembled_product_dimensions_l_x_w_x_h,power_type,recommended_location,assembled_product_weight,manufacturer
Mr. Heater Buddy Flex 11000 BTU Portable Heater,110.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,275 sq. Ft.,,,"Floor, Wall, Desk/Tabletop",Standard,3,,Portable Heater,,"Aluminum, Steel",,17 in,,,,F600100,,Radiant,,Auto Shut-off,,,Coil,,,8000-110000 BTU,,,16 in,,,,Red,,2020,,Radiant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADT Pulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dreo Space Heater for Indoor Use, 1500W Fast Heating Ceramic Electric Heater wit",108.74,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,Corded Electric,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,07445010533590,,Black,7445010533590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forced Air & Convection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.9 x 5.9 x 15.8 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPI ICH-240C Utility Fan Forced Portable Heater,110.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",TPI,,Electric,Dial,,,1,,Portable Heater,,Steel,,,,,,"ICH-240C, ICH-240",TPI ICH-240C,,208/240 V,,3501-4000 W,,,,,,,,,,,,Red,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"EUH5000 Electric Workspace Heater, 4800-Watts - Quantity 1",105.0, ,"['This heater throws s lot of heat. I like that the fan stays on so it cools down when element shuts off. I plan to install a 220 volt ac led indicator light so I can see when element is on so I can adjust the thermostat.This heater draws 20 amps...10 amps per line ( two 110 volt lines gives 220 volts). So 12 gauge wire will work but 10 gauge is better. I also changed the plug to a 220 volt 20 amp one. That works well and does not get hot.', 'I bought this heater as a supplemental heater in my 1500 square foot shop. I am currently running 2 5KW heaters but found that I needed a 3rd when the temp got colder. I was pleasantly surprised with this heater. I was not expecting much  from a heater this inexpensive but have been very pleased. It is much quieter than my other 2 heaters and the heat output is great.', 'The heater works very well but i think the type of plug should have been explained better. I had to buy and install new outlets to plug the heater into.', ""I have a cabin that is 30' x 30' with standard 8' ceilings with minimum amount of insulation .This heater does a great job heating it .Not sure about the energy cost as of yet because weather has not been below 30 degrees for more than a few days at a time."", 'The heater works good and gives off good heat. But as far as I can tell the fan never shut off even when the room was quite warm. I was looking for something to just keep my shop around 50 degrees in the winter. This heater is for getting a room heated up not for just keeping it a certain temp all the time', 'The picture of the plug is not for the EUH5000, it is for the EUH4000, so wait till you receive it before buying the receptacle,it is not dangerous hot but heat enough.', 'Heats my 750 sq foot wood working shop from 25 degrees to 60-62 degrees with an outside temp of 25. Makes the area very comfortable.', 'It does everthing that that was stated. It is good quality and built very well. The only draw back is it does not heat like I thought it would. But I also have it in a 24x24 unsulated shop..', 'shipping was very quick, puts out ok heat for a small heater ,its good if youkeep it near you but not for keeping big areas warm', 'Very nice and quiet heater excellent tor a garage ']","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",DuraHeat,700sq ft,Electric,Dial,"Wall, Ceiling",,Variable,,Forced Air/Fan,,"Metal, Steel",n/a,"9 in, 9in.",,,,EUH5000,EUH5000,Forced Air/Fan,240 V,Indoor,4800W,,,,,16400,,,,,,China,Multicolor,0013204250003,,,,,,,,15min.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comfort Zone, Ceiling Mount Heater, Ceiling Mount Heat & Light Combination",107.95,20 sold,"['I already had one of these so I knew what I was getting.  There was a problem with both units.  The arm that attaches to the sides was installed backwards.  In other words, it was in front of the heating element.  They have about a 90 degree tuning angle.  It had to be taken apart and the base arms rotated 180 degree so the bracket would actually be behind the unit (like the picture shows).  Luckily, I am handy enough to do that.  The units work great but draw a lot of power.  At 1500 watts, a standard house breaker can only handle 2 (if you are lucky) with nothing else turned on. Running 3 units on the 750 watt setting is the best you can ask for.', 'Heater appears to be flimsy and cheaply made. That being said, it seems to work fine. But I have not used it a lot.  Makes me wonder how long it will continue to work.  But for the price, I can not complain. It does its job.  This is a very inexpensive heater.  It is important to have it pointed in the correct direction since it heats surfaces and I am the surface wanting to be heater. I would have liked it better if it could have been angled better, but it seems to have built in tilting restrictions.  The included LED light is cheap, very dim, and close to worthless.  But on the whole I am still happy.  Would I buy it again?  Depends on its longevity. If it lasts more than 3 years, yes.', 'It is well made, the price is a little excessive. It heats well, but only good for a small area. You can mount it several different ways, which is a plus.', ""I have used this type heater in my home shop for the last 15 years and it has done a great job. This past summer I built a 12' X 12' gazebo and I enclosed it for the winter so the kids can use it for a play house and still we cook in there with a electric grill. Since I have used this type heater for several years I decided to buy one for the gazebo and I am glad I did, it does a great job and it was a very good price."", 'Pros, heats well and radiates s good 10 feet plus,  two heat ranges 750 and 1500 watts, pull cord is perfect length for rafter mounting, power cord is long and high quality.    Cons, halogen light is bright and annoying but does not light up any significant space in the room, bracket system is ultra flimsy. Bracket assembly is ratcheted and only goes in one direction. You will break it unless your one in a million that reads bad language Chinese instructions, halogen bulb burns out frequently, are near impossible to find, and cost 8 dollars each. ', 'Really Gets the Heat Out! Ceiling Mount Using the Center Bolt ONLY, and You can Pivot and Swivel, to Aim the Heat at any Spot in a Cold Garage. The Heat Reaches Out 15+ Feet. I would Buy This Heater Again. Well Made, Safe, and Good Value. Highly Recommend.   ', 'Plugged in and all settings work.Chrome area around light is dented from what looks to be the assembly process.Shipping and package Box had no damage I could see.Light weight unit and even on low puts out, really good heat.Not pretty but nice space heater for off the floor unit.', ""I use my heater in my small garage ( 25' x 14' and no insulation) and while we haven't had any bitter cold weather yet, we have had a few nights in the 20 degree range.  My garage stays in the 50 degree range using both lamps."", 'I bought this heater as a supplemental source of heat in my converted step van. It did not maintain adequate heat. If you are looking to add some heat to your garage or workspace, it may be adequate, but as a heating source in a living area it is not sufficient. ', ""I am enjoying the pleasant heat from the pair of these heaters right now. along with 4 other that I previously balled out for a grand total of 6 of these mah's in my garage. Super baller with a built in light and 2 heat settings you cant go wrong. super compact in size yet able to keep a 2 car garage somewhat warm. would buy two more if my circuit breakers could handle em. BLOOP-BLOOP!""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",comfort zone,,Electric,,Wall,,2,,Utility,,Metal,,26.5x5.2x14.2 in,,,,CZQTV5M,CZQTV5M,Radiant,120V,,1500,,,,,,,,,,,,Black,0075877125712,,,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heller 2400W Electric LCD Display 11 Fin Portable Floor Column Heater w/ WiFi BK,149.0,30-day returns, ,New,HELLER,N/A,Electric,Analog/Mechanical,Floor,N/A,3,Black,Portable Heater,,N/A,N/A,N/A,,,,HCFWF11,HCFWF11,N/A,220-240 V,"Castors, LCD",1000-2400 W,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,9312737101488,Unknown,,9312737101488,,N/A,Wi-Fi,,,,,N/A,HCFWF11,,,,,,,,No,,,,,,,,,,N/A,,,,N/A,,,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Industrial Electric Heater, 1500-Watts",105.99,30-day returns,"[""I am somewhat disappointed with this heater.  I work in a large open workspace and winter mornings can be uncomfortable with lower temperatures.  I purchased this heater with the impression that it force out a strong powerful heat.  It surely looks the part.  When I plugged it in, I realized that it didn't put out any more forced hot air than the cheap Walmart heaters. When it heats up, it does warm up an area in my house without problem, but rather useless where I work.  Its also not affective in my garage. My garage is not insulated. Again, the purpose of this heater was to have a reliable source of warm air to work in my garage.  It simply does not have the blower power that it looks to have. Its a good space heater for any room, but not  what I needed it for.  I am disappointed. These should be made with a more powerful blower."", ""Pros - quiet operation.Con - gives off about as much heat as a candle.Do not recommend this product for cold applications.If the room was in the 40's (F) or 50's (F) maybe this would work.  I used it in my garage with a starting temp of 34 (F) and the coils never even glowed.  Gave off some heat but could hold me hand directly in front of the unit for an extended period of time.  Also the picture on the box showed the inner coil glowing, which gives you a sense this unit puts out some heat.  That doesn't happen either.  Would maybe use this in a office setting but not in a work shop."", 'I bought this product  because I have a moderate problem with bed bugs and I know heat is supposed to be one of the methods of killing these bugs. I have not tried using it for this purpose yet but I have used it in my bathroom to see if it would help dry wet clothes which worked well and it also helped me to see how well it heated and see if maybe if it could be a possibility for killing the bugs I have a problem with. not sure if it strong enough for this idea but works great for helping dry clothes and heat a small bathroom. I would suggest anyone trying to use it for any of these purposes closely moniter this heater and not leaving it on when leaving their home or for extended lengths of time , but it is a nice little heater and I would recommend it.', ""Purchases this item because I just poker games in my garage and living in Chicago and being in the winter we needed a heater to help out during game time. I put the heater in max mode and not matter what it just wasn't throwing out enough heat.You literally have to be right in front of the heater to feel anything. I wanted something affordable that was not powered by propane however they do say u get what you paid for."", ""I bought two of these for my garage and disregarded the previous reviews i read. The fan barely puts air out. It gets hot, but the fan almost seems like the motor is junk. I'll still use it. I'll just put a box fan behind it so it can actually move heat around."", ""The heater is built well and is safe however its useless in a garage or outdoors. I would recommend it for use in a indoor room or basement environment where it doesn't have to compete with more harsh temperatures. Not exactly what I was hoping for!"", 'This looks good in the pictures, but is a terrible heater. The forced air is a joke. Plus it does not get hot. With the thermostat on high, after 15 minutes, I could still hold my hand about six inches in front of the grill. Very disappointed.', 'I thought I was going to buy this to upgrade the heater I use at work in the shop. I ended up just putting it in my car that I’m working on on the side of my house. It gets to about 80° inside just a car. I don’t expect it would be able to heat the shop. The fan is very weak as well.', 'It is good product for the price, it is slow on heating a large area but keeps it at a good temperature.', 'It came in a timely manner and works great as long as its pointed at you. Give it a little time and it does warm a small space up']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",DuraHeat,250 to 499sq ft,Electric,Dial,"Garage, Wall",,Variable,,"Forced Air/Fan Heater, Electric Portable Heater",,"Metal, Steel",,"8 in, 8in.",,,,EUH1500,EUH1500,Forced Air,120 V,"Handle, Indoor",1500,,,,,,,,,,0013204415006,China,Multicolor,0013204415006,,,,,,,,24hr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HearthPro SP5621 5 Sided Freestanding Indoor Infrared Stove Fireplace Heater,107.35, , ,,HEARTHPRO,,Electric,,Floor,,Variable,,Unit Heater,,,29.020,27.990,17.010,,,SP5621,,Infrared,,,,,,,,,,,,,,,Black,Does not apply,,,,,,,,,,HEARTHPRO,37.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SP5621,Opened manufacturer packaging.,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soleil 160 sq ft Oil Filled Electric Radiator Heater,105.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Ace Trading - Gi 4,,,,,,,,,,,,,,,,CYRA45-7,CYRA45-7,,,,,,,,,,,,,,,China,,815900020818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dreo Space Heaters for Indoor Use, Quiet&Fast Portable Heater with Tip-Over and ",108.74,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does not apply,,AC,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,07445046555566,,Black,7445046555566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Forced Air & Convection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.14 x 6.14 x 16 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" 755320 Ceramic Space Tower Heater, 8.5″L x 7.25″W x 23″H Silver",106.31, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Does Not Apply,,,,,,,,,,,,,,,,Does Not Apply,755320,,,,,,,,,,,,,,Does Not Apply,,Silver,Does Not Apply,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,Does Not Apply,,,,,8.5″L x 7.25″W x 23″H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPACE_HEATER,,Home,Kitchen,Does Not Apply,1,Does Not Apply,Ceramic,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Windows,"english,Unknown",false,false,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mr Heater 25,000 Btu High Intensity Radiant Workshop Heater", , , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Mr. Heater,625sq ft,Natural Gas,Thermostat,Car Garage,,,,Portable Oil Filled Radiator,,Steel,,,,,,F272200,F272200,Radiant,,"Thermostat, Easy to Install, Non-Corrosive, No Electricity Required",,,,,,25000,,,,,,,,0089301722002,,,,,,,,,F272200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F272200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Electric Forced Air Heater W/ Pivoting Base Adjustable Stand Fold-Way 5,120 BTU",107.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dura Heat,250 sq. ft.,Electric,,,,,,Air Heater,,,"8""","11""",,,,WX2-669988,WX2-669988,,120V,,,,,,,"5,120",,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,8.25 lbs.,,,,,,,,"12.75""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thermostat,1500,NEMA #1-15P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vintage Arvin Brown Space Heater, Rare, Working Condition, Electric Portable",110.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Arvin Meritor,,Electric,,Floor,,,,Portable Heater,,,,,,,,,,Forced Air/Fan,,,,,,,,,,,,,,,Brown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outdoor Patio Heater - 1500W Adjustable Outdoor Electric Heater with 3 Level ...,105.8,30-day returns, ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Air Choice,,,,,,,,,,,,,,,,Does not apply,Does not apply,,,,,,,,,,,,,,Does not apply,,Black,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6937590201385,,,,,,Outdoor Patio Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
