Title,Price,Sold,Reviews,Condition,Brand,Type,Control Style,Power Source,Heating System,Color,Voltage,Model,Number of Heat Settings,Features,Mounting Location,Power,UPC,Type 1,Material,MPN,EAN,Energy Efficiency Rating,Tank Capacity,Item Length,Area Covered,BTU Heating Rating,Heating Element Material,EC Range,Annual Fuel Utilization Efficiency (AFUE),Year Manufactured,Item Depth,Heating Element Format,Colour,Energy Efficiency Ratio (EER),Cable Length,Item Width,Operating Sound Rating,Custom Bundle,Energy Rating,Air Direction,Manufacturer Warranty,Item model number,Product Dimensions,Item Weight,Heating Method,Item Dimensions LxWxH,ISBN,Power (W),Unit Quantity,Country/Region of Manufacture,Design,Voltage Supply,Manufacturer Part Number,Shape,Number of Pieces,Towel Rack Length,Modified Item,Mounting,Item Height,Style,Cool Fan Setting,Energy Star,Smart Home Protocol,Location,Timer Control,Smart Home Compatibility,Tonnage,Refrigerant,Batteries Required?,Is Discontinued By Manufacturer,Manufacturer,Package Contents,Prop65_fl,Prop65Warning,Gear,Heating element,Heating Wattage,Rated power,Rated voltage,Weight,Length,Height,Current Rating,Size,Hight,Model Number,Package,Piece Count,Product Type,Country Of Origin,Function3,Function4,Function5,Function6,Function7,Function8,Origin,Power Mode,Volume,Certification,Colors,Function,Function1,Function2,ItemWidth,ItemLength,ItemHeight,Warranty Description,Assembly Required,Material Care Instructions,Included Components,Video of unit turned on,Heater Style,BU Heating Rating,Annual Fuel Utilization Efficiency/ AFUE,Heater Model Number,Heating Element,Product Weight,Room Heater,Application,Area Heated,Electric Heater,Electric Heater Type,Heater for Home,Suitable for,Wholesale,Use,Thermostat,Item name,Number of Speed Settings,Voltage (V),Ceramic Heating Element,Dropshipping,Size with box,Heater,Warmer Blower,Recommended Environment,Power Type,Heat Output,Battery Included,Bundle Description,Battery Size,Depth,Number of Batteries,Battery Capacity,Battery Life,Motor Type,Width,Binding,Studio,Scent,Publisher,ProductTypeName,ProductGroup,PackageQuantity,MaterialType,Label,Annual Fuel Utilization Efficiency,Energy Efficiency Ratio,Key Word 2,Key Word 3,Key Word 4,Key Word,ProductType,Application:,Power supply:,Heater Plug Type:,Heater Type:,Item Type,Installation,House heaters,Home heater,NumberOfItems,Assembled Product Dimensions (L x W x H),Recommended Location,Assembled Product Weight,PackQty,Dimension(ID*H),Power Tolerance,Product Name,Handling Time,Shipping,Satisfaction,Customer Service,International Shipping,Returns,Note,Product Weight (lb.),Power/Fuel Type,Area Heated (Sq. Ft.),Wattage (watts),Heater Type,Cord Length (in.),Heating Technology Type,Amperage (amps),Room Size,Portable Heater Features,Certifications and Listings,Product Height (in.),Voltage (volts),Package Dimensions,Dimension,Timer,Temperature setting,Idle Speed of Fan,New Title,Mounting & Moving,Compressor Type,Manufacturer Color,Country of Origin,Warranty,PRICE,USE,RETURNS,Returns and Refund,Quality,SHIPPING,Money Back,Ships From,Perfect For,Add To Watchlist,We Dont Accept PO BOX,Product Height (in),Baseboard Heating Type,Product Depth (in),Heat rating (BTU/hour),Color Family,Hydronic,Product Length (in),Vented,Pack Size,Product Width (in),Product Weight (lb),Heating Product Type,Price,USA Seller,Product use,Customer service,Limited time offer,Shipping Exclusions
"Dreo 1500W Space Heater, 70° Oscillating Electric Heater with Digital Thermostat",, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Dreo,Does not apply,Digital,Electric,Forced Air/Fan,Black,,,,Oscillation,,,7445005849811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WDR-SH004,,,,,,,,,,,,,,,,,,Dreo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.70 x 5.50 x 10.30 Feet,"Indoor,Bedroom,Office",3.8 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertek HO-0279 1500W Electric Oil Filled Radiator Space Heater - Black,44.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Pelonis,,Switch,Electric,Radiant,Black,120 V,HO-0279,3,"Thermostat, Wheels, Heater, Auto Shut Off, Automatic Shutoff, Indoor, Handle",Floor,1500 W,,,"Metal, Cast Metal",HO-0279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220V 500W Electric Heater Fan Warmer Air Heater Winter Home Room Office 2 Gears,40.17,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,,,,,,220 V,,,,,,Does not apply,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 gears,quartz tube heating,500W,500W,220V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"09950 Baseboard Heater, White, 500-Watts, 30-In. - Quantity 1",43.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Cadet,Baseboard Heater,Switch,Electric,,White,240 V,,1,n/a,Wall,,0027418099501,,Steel,9950,,,,n/a,,,,,,,,,,,,30.300,,,,,,,,,,,,,,United States,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Heater 1 in.   D X 1 in.   D X 12 foot ft. L Brass/Plastic Hose Assembly,43.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Enerco Group Inc,,,,,,,F273711,,,,,089301737112,,,F273711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States of America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Silicone Heating Pad CR-10 Printer Replacement Easy installation Convenient,,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,Heater,Null,Null,Null,Orange,,N/A,Null,Null,Null,Null,,,Silicone,Does Not Apply,,,Null,Null,Null,Null,Null,,Null,,Null,Null,,Null,,Null,Null,,,,,,,,,,,,,China,,,,,,,,,,,,Null,,,,,,,,,,1*Silicone Heating Pad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slant/Fin 36 in. 357-Watt Heavy Duty Baseboard Heater,45.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Slant/Fin,Baseboard Heater,,,Convection,Nu-White,0,843822,,,Baseboard,,042541004925,,,843822,,,,36 inches,,,,,,,37.25 inches,,,,,36 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hand Warmer Hand Heater Graphene Heating Constant Temperature Polyethylene With,41.15,60-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,As the description shows,,,,As the description shows,,,,,,,Does not apply,,,Does not apply,7905940885171,,,,,,,,,,,,,,,,,,,,,,,,,,Does Not Apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,As the description shows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comfort Zone CZ488 Mini Oscillating Ceramic Tower Heater,40.0, ,"[""I've owned this heater/fan for about a year now. It makes good heat, but generally it has only been used for the oscillating fan feature, just to keep the air circulating a little.Good product!"", 'This is a very good quality unit for its price. $35 . Does a nice job of heating one nice size room with the low or high options and doubles as an oscillating fan during the summer ! Who could ask for more ? Seems safe also with the auto shut off button on the bottom of the unit in case its knocked over.', 'Works really well glad i got this instead of a more expensive brands name version', 'Excellent smart tv,  great picture, sound and features,', 'Nice little heater. It helps takes the edge off the cold in out Shipping Dept.', 'These inexpensive heaters are great . I’ve bought others but these keep ticking. I use one under an overturned plastic horse trough to keep my outside pump from freezing all winter and it has lasted two winters. Good product ', 'Not as good as my other heater was before it failed... then again it was over 10 years ago I bought it used.  This one works OK.', 'I have just received my tower, and am enjoying it. It is appropriate for my needs. It keeps my place cool/warm. The size, style, and abilities are perfect. I like it a lot, worth the purchase.', 'Arrived early, worked fine with little break-in time or smell. Liked so much that this is the second one I bought. I would buy another one again', ""It's so good I brought 2 of them""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",comfort zone,Tower Heater,Switch,Electric,,Black,,Comfort Zone CZ488,3,Oscillation,,,0075877512161,,Ceramic,CZ488,0075877512161,,,7.700,,,,,,,,,,,,7.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"F299201 Wall Heater Blower Accessory Kit, Vent-Free,  20,000 to 30,000 BTU -",42.11,9 watchers,"['I bought this with the false expectation that it would blow heat straight out. It does not blow it anywhere. called **.****** and they told me I am right, but it is supposed to keep the heat lower in the room. there is absolutely no difference. I also paid 30 some dollars for it on ****, when it is for sale everywhere else for $20 (Mr. heater brand).Shame on me! you can buy other heaters that blow heat straight out, I guess I just bought the name brand.', ""Keep expectations of a 3 to 4 inch plastic fan in check. And you will be happy with your purchase. Does not move much air. But the install was easy. And it's better than no fan. Install took 15 min. Remove metal plate on Mr.Heater install the fan. Attach thermostat wires inside unit. Screw in the 4 bolts that hold unit in place. Done. You got a fan in your Mr Heater Unit. I'm my opinion unit should be sold with fan installed. But they get an extra 30 bucks or so out of you by doing it this way. Overall I'm pleased though. The Heater works great along with Fan. I'd recommend it.  Heats the 800 square feet up quite well. Even on the lowest setting. No vent is nice. And no fumes. Clean burning. Excellent Very Happy. Thanks!"", ""Works very well on auto.  its not going to circulate the air in your garage, I have a small box fan 8ft above the heater blowing down across the garage for that.  I also shimmed my heater out 4in from the wall or the fan wouldn't be able to get air to blow any out.  It made a big difference"", 'It’s better than having the heater without the fan it does move some air but not a lot. The automatic function does not work on it with the heater for some reason, incompatibility or something? At full retail price it’s not a very good value. Don’t stand too close to the heater see photo.', 'Blower is a little loud but bearable but the biggest problem is this model will not work on auto feature in wall heaters made before 2015 so if you have an older stove the auto feature will not work because it does not have the thermostat built in the fan', 'Works as good as can be expected for its size. Helps distribute the heat but not with great force', 'Fan is quite and smooth but does not move much air.', 'The Mr. Heater is Great. I have it in a large room in my shed. It kicks on and off by thermostat.  The Fan is a wonderful Addition. Easy to Install,  and it also kicks on and off by thermostat.  Highly recommend it. ', ""It was an easy install but the switch has a position for auto and on and haven't got the auto mode working on it."", 'The fan is not very powerful I find a regular fan placed behind the unit blowing down just as effective but does take more space.']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Mr. Heater,HOME COMFORT APPLIANCES,Switch,"Electric, Propane",Convection,Beige,n/a,F299201,1,n/a,Portable,,089301001183,,Steel,F299201,0089301001183,,,n/a,,20k-30k,,,,2016,,,,,,15cm,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,24hr.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taotronics Space Heater Indoor Portable Office Heater Adjustable Thermostat1500W,40.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Unbranded,Portable Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Lasko 1500W Ceramic Space Heater with Adjustable Thermostat, 754200, Silver",45.0, ,"['Been using it now for nearly 2 weeks; brutal Ohio winters make this a necessity.  It\'s compact, light and fits just about anywhere.  They do warn that it can discolor floors/carpets etc so I have it on top of a small waist-height cabinet with a piece of glass under it to protect the surface.  I\'m using it in a 12x12 office, and it is more than adequate to the task.  So far I\'ve used it on the first (lower power) setting at about a ""4"" heat setting (about 1/3 of max).  It puts out a tremendous amount of heat with a far reaching blower.  My only reservation is that it\'s a bit loud compared to my old heatwe (a trusty Bionaire I\'d had for about 12 years which finally gave up the ghost).   Can\'t comment on quality/longevity yet but for the money, it\'s a great buy and I recommend it.  As with any portable heating product, I would not run this when no one is in the room to monitor it. ', ""It serves my purpose very well.  My feet are perpetually cold, and these are perfect for that.  These units last a good 3 to 4 years before they start to get a little less efficient and effective. Eventually they do stop working.  Brand new, these are great heaters.  Very quiet heating unit.  Fan isn't overly loud and puts out a good amount of heat at the low setting.  I rarely use it at the high setting until it starts getting older.  I have gone thru 2 of these units in a 10 to 11 year period.  My 2nd one (about 5 years old) is starting to waiver.  I'd suggest getting some compressed air and blowing out the dust that collects at the intake on the rear of the unit to make it last longer.  The one thing I wish it had was a safety sensor that automatically turns it off if it gets tipped over. It does NOT have any safety feature so be mindful about leaving it on!"", 'I bought a pair of these just in case I experienced a furnace problem and needed some heat while getting it repaired or perhaps wanted to heat the garage a bit while working there.  They seem well built, run very quietly and would likely produce 1500 watts at 120 volts (I got 1440 at 117.7 volts).  The lower setting produced about 930 watts at 119 volts.  The cord is 16 AWG with 105C rating, which appears adequately sized.  Although I did not test them for very long, the heaters and fan did turn off when the temperature setting was reduced to a very low level.  My only qualm, for which I reduced a star,  is that there is no switch to turn them off if overturned.  I rotated the units in all directions, but they kept running.  So I would make sure that they are not used on a flammable surface or any possible source of overturning is excluded.  I did not test if the overheating reset would ever turn them off.', 'This heater did a nice job of heating my area at work.  I sit near an outside wall that is very cold some days.  This heater kept me toasty for about six hours then blew the circuit breaker at work.  This item could be improved with an internal resettable circuit breaker protruding from the rear so IT would blow instead of the one at work.  That would be more convenient instead of me being required to call an electrician at work to fix the work breaker.', 'Great little heater that puts out a lot of heat. I live in a converted space that has no central heating, so this little guy is my only source of heat and it does great. Keeps me toasty all night long at about 1/3 of maximum. My only caveat is that it has no tip-over protection. If the dog brushes against the back of it and knocks it over, it does not automatically shut off.', 'Bought this so we did not have to run the heater all night. This little heater works GREAT. Keeps are room at whatever temperature we set the knob at and heats up our master bedroom FAST. The only reason I gave this 4 instead of 5 stars is because after we unplug it from the outlet, the actual plug is HOT. We had to switch to a power strip as we were afraid the heater might blow a fuse as it seems to use a lot of electricity to power.', 'For a small heater it does a really good job.  It is also excellent for small rooms.  The only perk is that the handle is too smallto get a good hold.  But overall great little heater, love the feature it turns on and off automatically by it self when needed!', ""Prior owner. This is the best small space heater. This warms an area very fast. It isn't heavy. The face does get warm. Please just be careful. I recv'd this very quickly. It is really a fair price. Very well built. The previous space heater is still working, about 7 years now. I was just tired of moving it around. It IS that good. Buy this heater. You won't regret this. Just be careful. Thank you!"", ""This little heater will run you out of a 500 sq ft room if left on high. It's no joke. Lasko is a decent brand, not high end but should last 2-3 years....or more but for for 20.00 what would you expect. Dials are easy and built in temperature regulator is a must. I love mine and think it's a great value. I once ran a lasko fan straight 24 hrs - 7 days a week for 2 years without any issue. It started to rust from the moisture in the area or it would probably still be running. Good purchase and I am very pleased."", ""I think a lot of space heaters between 20-40$ are all the similar, they all break or are just as good as broken by the end of the season. This space heater seems of much better quality, even the material seems of high quality, instead of plastic like most. I also like that it's small and wisper quite. I have no complaints. I got it for 20$ which was a fantastic deal but I would have paid 35$ or even more for a heater with this quality. My biggest pro is the size.  Love it!!!""]","Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",Lasko,Ceramic,"Dial, Analog/Mechanical,Dial, Analog/Mechanical,Touch,Dial, Touch, Analog/Mechanical",Electric,Convection,"Silver, Multi-Color, Black",120 V,Lasko 754200,3,"Handle, Portable,Adjustable,Quiet, Overheat Shut-OFF!,Cool-Touch Exterior,Portable,Thermostat, Cool-Touch Exterior, Carrying Handle,Fan Forced,Automatic Shut-OFF!,Thermostat, Carrying Handle, Fan Forced, Fan, Manual Controls,Self-Regulating Ceramic Element,Quiet Operation,Portable, Overheat Shut OFF!, Built in Carry Handle, Quartz, Carrying Handle,Thermostat, Handle,Nonslip BASE,Mini,Automatic Shutoff,Thermostat,Cool-To-Touch, 3 Quiet Settings High Heat, Heater, Overheat Protection, Overheat Protection,Portable,Quartz,Thermostat, Portable, Indoor, Adjustable, Carrying Handle,Cool-Touch Exterior,Overheat Protection,Thermostat,Fan, Carrying Handle,Thermostat,Automatic Shut-OFF!,Fan Forced, Carry Handle",Portable,"1500, 900-1500W",0046013768346,,"Ceramic, Plastic, Metal","754200, LSK754200, LASKO754200, DH754200",,,1 gal or Less (5 L),,Medium,2000-2999 BTU,,,Less Than 80%,2016,,,,3 or Less,,"7 in, 7in.",Quite,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic,,15min.,Android TV Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lifesmart 4-Element Quartz Infrared Portable Large Room Electric Space Heater,44.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Element,Portable Heater,Remote Control,Electric,Infrared,Black,110 V,Lifesmart ZCHT1056US,3,,Cabinet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Infrared,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun Warm Portable Under Desk Heater Sunwarm 170TS 170 Watt Heater 1.B2,, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",Sun Warm,Portable Heater,Dial,Electric,Forced Air/Fan,White,120 V,170TS,1,.,Desk/Tabletop,701-800 W,,,Steel,170Ts,,,.,.,601-650 sq ft,4000-4999 BTU,Brass,,.,,.,Coil,,.,,.,Standard,,,,,,,,,,,,,,,,,,,,,,,,,Compliant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEMPCO SHS80390 Strip Heater,6 In. L,Silicone Rubber",42.06, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",TEMPCO,Flexible Strip Heaters,,,,,120,SHS80390,,,,,,,,SHS80390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dreo Space Heater – 70°Oscillating Portable Heater with Thermostat, 1500W PTC...",40.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Dreo,Portable Heater,,,,Black,120 V,,4,Oscillation,,,Does not apply,,Ceramic,DR-HSH004,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUE BLOWER HEATER ACCESSORY,40.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",BLUE BLOWER,HEATER ADAPTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2kW Industrial Fan Electric Heater Thermostat Fast Heat Garage Workshop BB-FH207,42.29,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",Kingavon,Portable Heater,,Electric,,Yellow,230 V,Kingavon BB-FH207,2,,"Cabinet, Floor",1501-2000 W,,,Steel,BBFH207,5017403043256,,,7.9 in,,,,,,,8.3 in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trustech Ptc Fan Heater,40.0, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",TRUSTECH,,,Fan,,,,1FH17-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
