Title,Price,Sold,Reviews,Condition,Style,UPC,Power Source,Color,MPN,Item Length,Smart Home Compatibility,Heating Element Format,Brand,Air Direction,Heating Element Material,Type,Control Style,Heating System,Voltage,Model,Mounting Location,Item Width,Power,Colour,Material,Features,Number of Heat Settings,Smart Home Protocol,Country/Region of Manufacture,Refrigerant,Cable Length,Year Manufactured,Location,Size,Custom Bundle,Unit Quantity,Energy Efficiency Ratio (EER),Manufacturer Warranty,Modified Item,EAN,Item Depth,Tank Capacity,Tonnage,Area Covered,Manufacturer Color,Height,Heating Wattage,Heater Style,Heating Technology,Recommended Environment,Annual Fuel Utilization Efficiency (AFUE),Operating Sound Rating,Package Contents,Normal temperature resistance,Item Height,Product Lot Quantity,Room Coverage Area,Width,BTU Heating Rating,PackQty,Manufacturer Part Number,Current Rating,Type  1,Energy Star,Timer Control,EC Range,Overall Length,Overall Length (In.),Terminals,Sheath Material,NumberOfItems,Restricted States,Weight,Slotted Hole Width,Mounting Dimension,Application,Watts,Max. Sheath Temp.,Screw Size,Length,Mounting Type,Watt Density,Phase,Slotted Hole Length,Manufacturer,New Title,Item Weight,Prop65_fl,Prop65Warning,Power Type,ISBN,Assembled Product Weight,Assembled Product Dimensions (L x W x H),Recommended Location,Item model number,Warranty Description,Product Dimensions,Country of Origin,Batteries Required?,Heating Method,Item Dimensions LxWxH,Import Designation,Is Discontinued By Manufacturer,Included Components,Room Size,Indoor/Outdoor,Portable Heater Features,Heater Type,Voltage (volts),Area Heated (Sq Ft),Product Depth (in),Heater Controls,Wattage (watts),Color Family,Power/Fuel Type,Amperage (amps),Portable Heater Safety Features,Product Height (in),Cord Length (in),Product Width (in),Certifications and Listings,Product Weight (lb),Assembly Required,Material Care Instructions,Number of Pieces,Warranty - Parts,Warranty - Labor,Noise Level,Model Number,Category,product_height_in,area_heated_sq_ft,product_depth_in,heater_controls,assembled_width_in,assembled_depth_in,room_size,heater_type,assembled_height_in,certifications_and_listings,color_family,portable_heater_safety_features,cord_length_in,indoor_outdoor,number_of_heat_settings,product_width_in,power_fuel_type,portable_heater_features,wattage_watts,amperage_amps,voltage_volts,product_weight_lb,ProductGroup,ProductTypeName,Use,Gift,Offer,Return,Quality,SHIPPING,Ships from,Customer Service,Main Colour,Hight,Power (W),Compressor Type,Number of Cool Speeds,Specification met,Bulb Type,Heating Technology Type,Mount Location,Depth,Heating Product Type,Area Heated (Sq. Ft.),Package Dimensions,Heat Output,ItemWidth,ItemLength,ItemHeight,ASIN,item_width,item_length,Bundle Description,Battery Included,Battery Size,Number of Batteries,Battery Capacity,Battery Life,Motor Type,Finish,Actual Color,Feature,Model No.,Product,SKU,Country of Manufacturer,package_length,Batteries Required,Item Diameter,Finish Types,Made For,Tank Sizes,manufacturer_part_number
Arvin Space Heater 1320 Watts Automatic Fan Forced Instant Heat Taupe Vintage,60.0, , ,"Used: An item that has been used previously. The item may have some signs of cosmetic wear, but is fully operational and functions as intended. This item may be a floor model or store return that has been used. See the seller’s listing for full details and description of any imperfections. ",,,Fan,Brown,,,,,Arvin,,,Portable Heater,,Forced Air/Fan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dreo 1500W Space Heater 70° Oscillating Electric Heater with Digital Thermostat,62.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,744759110725,AC/DC,Silver,,,,,Does not apply,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,0744759110725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dreo,,3.8 pounds,,,,Does not apply,,,,DR-HSH004-G,"24h Customer Servies, 1-Year Limited Warranty from the Date of it",6.7 x 5.5 x 10.3 inches,China,No,Forced Air,6.7 x 5.5 x 10.3 inches,,,Detachable Filter,,,,,,,,,,,,,,,,,,,No,Hand Wash,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEW Honeywell HeatGenius Ceramic Heater - Black - 1500 Watts - 6 Heat Settings,62.0,30-day returns,"[""Everytime the heater is turned on, you have to reset it.  It has no memory.  The thermostat doesn't work well in that it doesn't come on at the set temperature."", 'Heater dose not operate. No heat at all. No fan spin. Just sits there like a paper wait. I’m so disappointed.  I need a heater. Why would I be sent a none functioning $80 plus item and the monitor door alarm is still in the box?  Sign of a stolen item. I have no choice but to sent to BBB fraud department. I’m going to reverse cc charges and submit visa fraud case. I’m so cold and tired ', 'Works perfectly,  throws a lot of heat almost instantly, light, convenient. Wish I had gotten it sooner.Using it right this second to warm this room and not run the whole house system.', 'It’s excellent heater . I love it . Valuable items for those cold days ', 'This unit heats two rooms efficiently.', 'works good', 'great item', 'Very good heat', 'Just what I was looking for.']",,,092926108458,Electric,Black,HCE845B,,,,Honeywell,,"Aluminum, Ceramic",Portable Heater,"Digital, Touch",Forced Air/Fan,120 V,Honeywell HeatGenius HCE845,Floor,,"1500W, 1001-1500 W",,Ceramic,"Digital Display, Portable, Thermostat,Timer, Thermostat, Timer, Vented, Cool-to-Touch, Automatic Shutoff, Programmable",5 or More,,,,,2018,,,,,,Yes,,,,,,151-200 sq ft,,,,,,,,,,,,,,,5000-5999 BTU,,,10.1-15 A,,,15 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 year limited,3 year limited,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LASKO 1500W CERAMIC TOWER SPACE HEATER WITH REMOTE CT22835,, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0046013777683,"Battery, Electric",Black,CT22835,,ADT Pulse,Coil,Lasko,1-Way,Brass,Tower Heater,"Remote Control, Push Button, Digital, Touch, Analog/Mechanical",Boiler,12 V,Lasko CT22835,"Baseboard, Floor, Desk/Tabletop",,1001-1500 W,,Ceramic,"Auto Shut-off, Timer, Oscillation",1,,,,100 sq ft,2020,,,,,,,,,,1 gal or Less (5 L),,100 sq ft or Less,,,,,,,,None,,,,,,,Less Than 2000 BTU,,,,,,15 min,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cadet Baseboard Heater 240-Volt 500-Watt Electric Steel-Sheathed in White,64.16,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0027418099501,Electric,White,9950,,,,Cadet,,,Baseboard Heater,Switch,,240 V,2F500W,Wall,,,,Steel,,1,,,,,,,,,,,N/A,,0027418099501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1500W Electric 3-position Warm Air Heater Fan PTC Ceramics Thermosta &,78.08,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,Black,zOJ7324664,,,,Unbranded/Generic,,,Air Heater,,,,,,,,,Ceramic,Carrying Handle,,,,,,,Living Room,,,,,,,,,,,,,,,,,,,,,,,,200 to 349 sq ft,,,,zOJ7324664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Quiet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Optimus Portable Oscillating Ceramic Heater with Thermostat New in Box,64.95,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0630326172473,Electric,Gray,H-7247,12 in,,Coil,Optimus,,Stainless Steel,"Utility/Portable, Ceramic",Push Button,Forced Air/Fan,120,H-7247,Portable,8 in,1001-1500 W,,Ceramic,"Portable, Thermostat, Power Indicator, Oscillating",2,Infrared,,,,2018,,,,,3 or Less,,,,6 in,n/a,,551-600 sq ft,,,,,,,Less Than 80%,11-20 dB,,,,,,,Less Than 2000 BTU,,,,,3 Stars,,A++ - G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"TEMPCO SHS80305 Strip Heater,6 In. L,120V",64.17, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,,,SHS80305,,,,TEMPCO,,,Flexible Strip Heaters,,,120,SHS80305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dreo Space Heater for Indoor Use, 1500W Fast Heating Ceramic Electric Heater wit",60.0, , ,,,860006539566,Electric,Black,,,,,Dreo,,,Portable Heater,,,,DR-HSH003,,,,,Ceramic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warm Heater Mini Electric Fireplace Tabletop Portable Heater Space Heating,62.99,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does Not Apply,Electric,Black,Does Not Apply,22.3CM,,Strip,Unbranded,,Copper,Portable Heater,Remote Control,Forced Air/Fan,220 V,Fireplace Heater,Desk/Tabletop,12.5CM,701-800 W,,ABS,Auto Shut-off,2,,,,,,,,,,,,,,14.5CM,,,401-450 sq ft,,,,,,,Does Not Apply,,,,,,,,Does Not Apply,,,,,A+++,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"161 Infrared Single-Bulb Ceiling Heater Without Fan, 250-Watt Heaters HVAC Part",60.38,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,026715002634,,red,161,,,,Broan,,,,,,,,,,,,,,,,,,,,,1-Bulb,,,,,,6848429218071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Broan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161,Heaters & Accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAEWOO ELECTRIC HALOGEN / FAN HEATER PORTABLE FLOOR HOT COLD OIL FILLED RADIATOR,18.95,35 sold, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,,Electric,,rfh,,,,Daewoo,,,Fan Heater,,,,,,,,White,,"Carrying Handle, Oscillating, Overheat Protection, Portable, Power Indicator",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"FINNED STRIP HEATER 230/250 V 850 WATT 14"" WATLOW TEMPCO VULCAN SG",65.0, , ,,,,,,Does Not Apply,,,,Unbranded,,,Heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lasko 5309 Portable Electric 1500W Room Oscillating Ceramic Tower Space Heater,60.0, ,"['I use it in my apartment bedroom especially after a shower to keep myself warm.  = I have not turned on my regular heater yet and it is almost February.  Am barely ever home and have someone living below me (I scavenge their heat).Oscillator is nice.  Set on something solid and elevated maybe a foot (table etc).  I always unplug it when not in use or leaving the apt.  Use a heavy duty extention cord that is not too long or else the cord may heat up.  No power down procedure - unit does not run fan to cool down.  Heat setting can be a little bizarre between temp and power.', 'Product came faster than expected, new, in original box. Quickly generates heat and warms a small room very well.  Thermostat allows heater to cycle on and off as needed to maintain the constant temperature needed for a greenhouse. Oscillating multiple temperature ranges are great features.', ""At first this heater smelled.  Once you get past that its great.  I've used Lasko products for years.  Its reliable and durable,  You get  a lot of features at an  affordable price.."", ""The best little heater. Throws alot of heat out. Warmed up the livingroom, dining area and kitchen to a nice warm comfortable temperature (couldn't believe it). It's very quiet, light weight, easy to set up and operate .. best part it's cool to touch! My little family is very happy with this heater. Will invest in another"", 'I bought this heater to replace a much larger, older quartz heater I used for the bathroom.  It is compact, has a nice design and provides a lot of heat quickly.  It is perfect for small rooms such as a bathroom.  No need to heat the whole house just to raise the warmth level in a single room when you can use a small room sized space heater like this Lasko Tower Heater.  The rotating feature is great for larger bathrooms; moves the heat around.   It was reasonably priced and arrived quickly.', 'I was using that brand that starts w/ a V. But they dont seem to last long. This one I noticed the temp was warmer then the other one, I like it. Keeps rooms toasty.', 'This small  heater heats the entire den! Very happy with it. I like the oscillating feature too. ', ""I finally caved this winter and purchased a heater to keep warm while I work from home. It's been amazing so far! Oscillation on the lowest setting warms my space surprisingly quickly. It's lightweight and I've experienced absolutely no electrical complications. I'm totally pleased with my purchase."", 'These work really well! Depending on the size of the room of course. I purchased this one for a small bedroom/office. Heats the room nice and toasty. I set the thermostat at 65 degrees, it shuts off and turns on perfectly! I would highly recommend for a smaller room.', 'warms area quickly with good temperature control...oscillating feature equalizes heat nicely']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,0046013766250,Electric,"Silver, Gray, White, Black",5309,,,,Lasko,,,Tower Heater,"Digital, Touch",,120 V,Lasko 5309,,,,,Ceramic,Oscillation,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1,500-Watt Oil-Filled Radiant Electric Space Heater with Thermostat",61.26,30-day returns, ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,7445023614620,"Oil, Electric",Black,HO-0279,,,,Pelonis,,,Portable Oil Filled Radiator,"Dial, Switch",Radiant,120 V,HO-0279,Floor,,,,Steel,Auto Shut-off,3,,,,,,,,,,,,,7445023614620,,,,451-500 sq ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.20 in,500,13.98 in,Dial,11.02 in,13.98 in,Medium,Oil-Filled,25.20 in,ETL Listed,Blacks,"Auto Shut Off,Tip-Over Safety Switch",70 in,Indoor,3 Heat,11.02 in,Electric,"Handle,Thermostat,Wheels",1500 W,12.5 A,120,17.38 lb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vintage 1930's SUNBEAM CHICAGO FLEX SHAFT Co. SPACE HEATER ART DECO-WORKS!,64.99, , ,,,,Electric,,,,,,Sunbeam,,,Portable Heater,,Forced Air/Fan,110-120 V,,Desk/Tabletop,,,,TIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"162926053, CERAN HEATER (Q140 1200W)",60.0, , ,"Open box: An item in excellent, new condition with no wear. The item may be missing the original packaging or protective wrapping, or may be in the original packaging but not sealed. The item includes original accessories. The item may be a factory second. See the seller's listing for full details and description. ",,,,,,,,,Blomberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Comfort Glow Electric Log Set With 4600 BTU Heater, ELCG240 $160 New",62.99, , ,"New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,Does not apply,,,ELCG240,,,,Comfort Glow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Texsport 14215 Propane Heater,60.27,6 watchers,"['Bought the propane heater for those cold days on the golf course. Put a cart cover on the cart and use this heater. Works perfect ! Allows you to play golf on some days that you normally wouldn’t even think about it. Well worth the purchase.', ""When I ordered this heater, I thought it had an arc igniter like my old one did. My bad! It doesn't so it requires either a match or some other ignition source in addition to the heater to light it. The heater does an adequate job heating a small area. No complaint there. I will either buy another heater with  an arc igniter or see if one is available to retrofit to this heater."", 'Like the extra pieces on the base, keeps it better balanced', 'Fired right up first time and ran for two weeks straight no problems worked great.', 'I bought this because a friend had one like it. Getting ready for a camping trip, opened it and it has a flame that comes out of it about four inches long. Tried three different bottles on it with the same result.', 'Just used theheater a few times and it worked real good.', 'I bought the Texsport golf cart propane heater because it was compact and appeared to be the type of heater that I needed. The product that I received did not operate correctly (it did not stay lighted after the initial igntion).  My request for resolution was met with ""call the supplier for a replacement or corection"".  The supplier responded with \'we have no replacement units and no replacement parts...sorry"". After two months and the conclusion of winter weather, I tired of the excuses and referrals and have asked for a reund.  The supplier still is without product or parts.', 'We just took it camping with us for 4 days and it sure came in handy in the evening when it got very chilly in the tent... Easy to use and works great!', 'Nice little heater seems to be good quality works good nothing wrong with this one for the price. Even has a handle to hang it I would recommend.Thanks Joe']","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,049794142152,Propane,Silver,14215,,,,Texsport,,,,Rotary Knob,,,,,,,,Steel,,1,,,,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Portable Pivoting Utility Space Heater Indoor Forced Air Thermostat Electric NEW,63.56, ,"[""I don't like unnecessary safety features &amp; this fan/heater doesn't have any ..It's versatile and economic. And the modern style fit's in great with my decor.."", 'This is a fantastic space heater... super quiet and amazing...', ""This is a really nice portable heater. Very easy to use. Our garage is the man cave, so there is no overall heat in this part of the house. This portable heater keeps me warm when I sit out there with him. We live in Florida so we don't need heat very often, so this is great. Compact enough to store easily on a shelf when not in use. I love it!! Fast delivery, good price, no problems."", 'Works very well.  Have had great luck with Lasko products.', 'I have a small area to heat so low heat is all i need. This heater is built well, the problem is it works on low only. On high the circuit breaker quickly kicks in &amp; shuts it down. Then you have to unplug the unit until it cools down. On low it will run all day.', ""This is the third one of these I have bought. They are great for a small ( maybe 200 to 250 sq ft ) space. I use it in my den when watching TV or working on the computer because it is reasonably quiet and puts out a lot of heat for its' size."", 'Works good for the price. Provides adequate heat for a small room. However I purchased a smaller unit that was less expensive that also did the same thing.', ""Using this in a 14x16 room and it heats room up in 32 degree weather outside even on low fan, setting temp on medium.  First night i had it on high and woke up sweating, had to turn it down. I am very pleased with this heater yes indeed. Seems well built and i can't see any reason that it will not last. Will be acquiring  another asap!"", 'I have bought 4 of these units, 3 of which are non operational, 1 overheats and shuts down, 1 has a defective blower motor,#3 the cord gets so hot it melted the plug at the end of the power cord, you judge for yourself', ""It has no blowing power at all, it looks good nothing. The setting for operation is ridiculous for my needs and say you had a room to warm up 20x15.,! You'll be waiting a long long time. Even a bathroom. I needed to operate for 24 hours but was afraid it might start a fire. ""]","New: A brand-new, unused, unopened, undamaged item in its original packaging (where packaging is applicable). Packaging should be the same as what is found in a retail store, unless the item is handmade or was packaged by the manufacturer in non-retail packaging, such as an unprinted box or plastic bag. See the seller's listing for full details. ",,313044914944,,Black,5919,,,,Lasko,,,Does not apply,,,,5919,,,,,Plastic,,2 Heat and 1 Fan,,,,,,,,,,,,,0313044914944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Does not apply,,,,,,,,,,,,,,Medium,Indoor,"Fan Included,Handle,Portable,Thermostat",Forced Air,120,300,11.6,Dial,1500,Blacks,Electric,12.5,"Cool-to-the-Touch,Nonslip Base",11.4,72,11.8,ETL Listed,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
